"X1998.05.04" "X1998.05.05" "X1998.05.06" "X1998.05.07" "X1998.05.08"
"5" 1229 1153 1212 1219 1156
"14" 757 746 733 749 753
"16" 845 856 846 848 827
"18" 432 452 481 501 460
"21" 222 203 227 206 207
"22" 283 275 295 282 235
"27" 671 738 715 735 731
"29" 466 467 483 462 484
"31" 570 545 539 545 558
"34" 531 541 632 576 528
"35" 540 523 493 538 549
"36" 445 467 503 489 439
"37" 651 650 624 676 631
"38" 448 470 503 500 438
"39" 476 533 515 554 539
"40" 459 431 420 486 450
"42" 138 138 118 127 129
"46" 233 212 234 230 238
