"Link" "From" "To" "Cost0" "Capacity"
1 1 2 11 1000
2 2 1 11 1000
3 2 3 11 1000
4 3 2 11 1000
5 3 4 18 1000
6 4 3 18 1000
7 4 5 9 1000
8 5 4 9 1000
9 5 6 9 1000
10 6 5 9 1000
11 6 7 8 1000
12 7 6 8 1000
13 7 8 8 1000
14 8 7 8 1000
15 8 9 5 1000
16 9 8 5 1000
17 8 10 5 485
18 10 8 5 485
19 8 17 23 485
20 17 8 23 485
21 5 16 29 485
22 16 5 29 485
23 3 15 37 485
24 15 3 37 485
25 1 11 9 1000
26 11 1 9 1000
27 11 13 35 1000
28 13 11 35 1000
29 12 13 7 485
30 13 12 7 485
31 13 14 9 485
32 14 13 9 485
33 14 15 10 485
34 15 14 10 485
35 15 16 27 485
36 16 15 27 485
37 16 17 18 485
38 17 16 18 485
39 13 18 23 1000
40 18 13 23 1000
41 15 19 23 485
42 19 15 23 485
43 16 20 23 485
44 20 16 23 485
45 18 19 15 485
46 19 18 15 485
47 19 20 28 485
48 20 19 28 485
49 18 21 5 1000
50 21 18 5 1000
