"Node" "longitude" "latitude"
1 -1.125245 52.630805
2 -1.124281 52.630194
3 -1.123348 52.629562
4 -1.121621 52.628533
5 -1.120899 52.627984
6 -1.120122 52.627488
7 -1.119361 52.627068
8 -1.118559 52.626618
9 -1.118151 52.626279
10 -1.117947 52.626761
11 -1.125977 52.630219
12 -1.12867 52.627966
13 -1.127962 52.627673
14 -1.12691 52.62736
15 -1.125801 52.626996
16 -1.122656 52.625933
17 -1.120598 52.625239
18 -1.129085 52.625936
19 -1.127316 52.625363
20 -1.124054 52.624261
21 -1.129349 52.625585
