"From" "To" "Prior.Mean"
1 1 0.1
1 2 106
1 3 27
1 4 21
1 6 21
1 7 12
1 9 678
1 10 115
1 11 42
1 12 122
1 14 2
1 20 99
1 21 471
2 1 0.1
2 2 0.1
2 3 0.1
2 4 0.1
2 6 0.1
2 7 0.1
2 9 0.1
2 10 0.1
2 11 0.1
2 12 0.1
2 14 0.1
2 20 0.1
2 21 0.1
3 1 11
3 2 0.1
3 3 0.1
3 4 0.1
3 6 0.1
3 7 0.1
3 9 18
3 10 3
3 11 1
3 12 2
3 14 0.1
3 20 6
3 21 12
4 1 6
4 2 0.1
4 3 2
4 4 0.1
4 6 10
4 7 2
4 9 62
4 10 17
4 11 0.1
4 12 13
4 14 0.1
4 20 18
4 21 20
6 1 0.1
6 2 0.1
6 3 0.1
6 4 0.1
6 6 0.1
6 7 5
6 9 29
6 10 9
6 11 0.1
6 12 0.1
6 14 0.1
6 20 0.1
6 21 0.1
7 1 0.1
7 2 0.1
7 3 0.1
7 4 0.1
7 6 0.1
7 7 0.1
7 9 5
7 10 3
7 11 0.1
7 12 0.1
7 14 0.1
7 20 0.1
7 21 0.1
9 1 444
9 2 0.1
9 3 12
9 4 29
9 6 46
9 7 0.1
9 9 0.1
9 10 10
9 11 11
9 12 156
9 14 0.1
9 20 33
9 21 80
10 1 82
10 2 0.1
10 3 4
10 4 9
10 6 6
10 7 0.1
10 9 141
10 10 0.1
10 11 1
10 12 115
10 14 1
10 20 37
10 21 89
11 1 0.1
11 2 0.1
11 3 0.1
11 4 0.1
11 6 0.1
11 7 0.1
11 9 0.1
11 10 0.1
11 11 0.1
11 12 0.1
11 14 0.1
11 20 0.1
11 21 0.1
12 1 82
12 2 0.1
12 3 3
12 4 5
12 6 8
12 7 0.1
12 9 177
12 10 117
12 11 32
12 12 0.1
12 14 2
12 20 19
12 21 40
14 1 14
14 2 0.1
14 3 1
14 4 0.1
14 6 0.1
14 7 0.1
14 9 8
14 10 3
14 11 2
14 12 26
14 14 0.1
14 20 3
14 21 15
20 1 138
20 2 0.1
20 3 9
20 4 27
20 6 10
20 7 0.1
20 9 32
20 10 37
20 11 9
20 12 46
20 14 1
20 20 0.1
20 21 35
21 1 187
21 2 0.1
21 3 3
21 4 11
21 6 3
21 7 0.1
21 9 111
21 10 137
21 11 67
21 12 53
21 14 6
21 20 11
21 21 0.1
